GCA_024347055	Vibrio porteresiae
GCA_024347295	Vibrio artabrorum
GCA_000171815	Vibrio sp000171815
GCA_000189275	Vibrio sinaloensis_B
GCA_000222605	Vibrio ichthyoenteri
GCA_000830505	Vibrio mytili
GCA_001506075	Vibrio sp001506075
GCA_002100145	Vibrio sp002100145
GCA_002196515	Vibrio gazogenes_A
GCA_002812955	Vibrio sp002812955
GCA_002873395	Vibrio sp002873395
GCA_002875945	Vibrio lentus_A
GCA_002877365	Vibrio sp002877365
GCA_002933855	Vibrio penaeicida_A
GCA_003144035	Vibrio albus
GCA_003415655	Vibrio maerlii
GCA_003605645	Vibrio sinensis
GCA_003856525	Vibrio viridaestus
GCA_003970385	Vibrio aquaticus
GCA_004551525	Vibrio ouci
GCA_011064285	Vibrio ziniensis
GCA_012641465	Vibrio agarilyticus
GCA_013114545	Vibrio sp013114545
GCA_014050145	Vibrio marinisediminis
GCA_014694455	Vibrio sp014694455
GCA_015278125	Vibrio sp015278125
GCA_016900875	Vibrio ulleungensis
GCA_021272385	Vibrio salinus
GCA_021726515	Vibrio sp021726515
GCA_022113815	Vibrio cincinnatiensis_A
GCA_023634655	Vibrio sp023634655
GCA_023716565	Vibrio sp023716565
GCA_023716665	Vibrio sp023716665
GCA_024582835	Vibrio japonicus
GCA_900100015	Vibrio xiamenensis
GCA_900233005	Vibrio tapetis
GCA_921292975	Vibrio hippocampi
GCA_921293875	Vibrio_A stylophorae
