GCA_000169995	Vibrio sp000169995
GCA_000695745	Vibrio madracius
GCA_000755425	Vibrio maritimus_A
GCA_002342685	Vibrio sp002342685
GCA_003263775	Vibrio maritimus
GCA_003263845	Vibrio aestivus
GCA_007116955	Vibrio sp007124475
GCA_007124475	Vibrio sp007124475
GCA_018222805	Vibrio sp018222805
GCA_024346875	Vibrio gallicus
GCA_024346935	Vibrio inusitatus
GCA_006538525	Vibrio inusitatus
GCA_024346975	Vibrio neonatus
GCA_024347015	Vibrio pectenicida
GCA_003937805	Vibrio pectenicida
GCA_013114615	Vibrio pectenicida
GCA_024347075	Vibrio rarus
GCA_024347315	Vibrio atlanticus
GCA_900089855	Vibrio atlanticus
GCA_024347335	Vibrio celticus
GCA_002156525	Vibrio celticus
GCA_900089965	Vibrio celticus
GCA_024347575	Vibrio pelagius
GCA_024362845	Vibrio pelagius
GCA_024347635	Vibrio tasmaniensis
GCA_002119525	Vibrio tasmaniensis
GCA_006333845	Vibrio tasmaniensis
GCA_913020605	Vibrio caribbeanicus
GCA_000165125	Vibrio caribbeanicus
GCA_000189255	Vibrio brasiliensis
GCA_022398135	Vibrio brasiliensis
GCA_022398155	Vibrio brasiliensis
GCA_022398175	Vibrio brasiliensis
GCA_022398185	Vibrio brasiliensis
GCA_000272105	Vibrio splendidus_I
GCA_000091465	Vibrio tasmaniensis_A
GCA_000153005	Vibrio tasmaniensis_A
GCA_000272365	Vibrio tasmaniensis_A
GCA_000272385	Vibrio tasmaniensis_A
GCA_000272405	Vibrio tasmaniensis_A
GCA_002875145	Vibrio tasmaniensis_A
GCA_002876245	Vibrio tasmaniensis_A
GCA_002876335	Vibrio tasmaniensis_A
GCA_002876485	Vibrio tasmaniensis_A
GCA_004761895	Vibrio tasmaniensis_A
GCA_004761905	Vibrio tasmaniensis_A
GCA_004764445	Vibrio tasmaniensis_A
GCA_005146635	Vibrio tasmaniensis_A
GCA_005146675	Vibrio tasmaniensis_A
GCA_005146825	Vibrio tasmaniensis_A
GCA_005146845	Vibrio tasmaniensis_A
GCA_005146875	Vibrio tasmaniensis_A
GCA_005146895	Vibrio tasmaniensis_A
GCA_005146915	Vibrio tasmaniensis_A
GCA_900382745	Vibrio tasmaniensis_A
GCA_000286955	Vibrio rumoiensis_A
GCA_000467185	Vibrio ezurae
GCA_003568985	Vibrio ezurae
GCA_000478685	Vibrio katoptron
GCA_000731785	Vibrio katoptron
GCA_000711795	Vibrio pacinii
GCA_000731795	Vibrio blepharus
GCA_000967545	Vibrio galatheae
GCA_001012815	Vibrio mexicanus
GCA_001547935	Vibrio tritonius
GCA_020216145	Vibrio tritonius
GCA_001274805	Vibrio nereis
GCA_001591105	Vibrio nereis
GCA_913031415	Vibrio sp001635455
GCA_001635455	Vibrio sp001635455
GCA_022397735	Vibrio barjaei
GCA_001639065	Vibrio barjaei
GCA_001675945	Vibrio sp001676025
GCA_001676025	Vibrio sp001676025
GCA_001854765	Vibrio sonorensis
GCA_001895205	Vibrio injensis
GCA_003185995	Vibrio injensis
GCA_002157735	Vibrio aphrogenes
GCA_003513745	Vibrio casei
GCA_002218025	Vibrio casei
GCA_003335255	Vibrio casei
GCA_014897195	Vibrio casei
GCA_900163805	Vibrio casei
GCA_002218045	Vibrio rumoiensis
GCA_002563795	Vibrio sp002563795
GCA_002749895	Vibrio fujianensis
GCA_009904905	Vibrio fujianensis
GCA_009904915	Vibrio fujianensis
GCA_009904955	Vibrio fujianensis
GCA_009905005	Vibrio fujianensis
GCA_009905025	Vibrio fujianensis
GCA_013048485	Vibrio fujianensis
GCA_013048825	Vibrio fujianensis
GCA_002811245	Vibrio salilacus
GCA_000400265	Vibrio azureus
GCA_000467165	Vibrio azureus
GCA_002849855	Vibrio azureus
GCA_002873195	Vibrio sp002873335
GCA_002873335	Vibrio sp002873335
GCA_002874415	Vibrio sp002873335
GCA_001974615	Vibrio splendidus_J
GCA_002872905	Vibrio splendidus_J
GCA_002873455	Vibrio splendidus_J
GCA_002874595	Vibrio splendidus_J
GCA_002877195	Vibrio splendidus_J
GCA_002877345	Vibrio splendidus_J
GCA_002878595	Vibrio splendidus_J
GCA_001974575	Vibrio sp002875705
GCA_002872765	Vibrio sp002875705
GCA_002875555	Vibrio sp002875705
GCA_002875605	Vibrio sp002875705
GCA_002875685	Vibrio sp002875705
GCA_002875705	Vibrio sp002875705
GCA_002875885	Vibrio sp002875705
GCA_002875905	Vibrio sp002875705
GCA_002876915	Vibrio sp002875705
GCA_002934045	Vibrio gangliei
GCA_003263785	Vibrio variabilis
GCA_003350295	Vibrio tetraodonis
GCA_009857245	Vibrio tetraodonis
GCA_022347625	Vibrio tetraodonis
GCA_000754155	Vibrio rhodolitus
GCA_003350325	Vibrio rhodolitus
GCA_003569005	Vibrio superstes
GCA_007990955	Vibrio superstes
GCA_024347155	Vibrio zhugei
GCA_003716875	Vibrio zhugei
GCA_005281835	Vibrio profundi
GCA_019350925	Vibrio profundi
GCA_006124995	Vibrio sp006124995
GCA_007858795	Vibrio sp007858795
GCA_000400425	Vibrio sagamiensis
GCA_002894965	Vibrio sagamiensis
GCA_007990935	Vibrio sagamiensis
GCA_009363415	Vibrio aquimaris
GCA_000755365	Vibrio astriarenae
GCA_010587385	Vibrio astriarenae
GCA_001957165	Vibrio ostreicida
GCA_013074385	Vibrio ostreicida
GCA_013114595	Vibrio sp013114595
GCA_013114625	Vibrio sp013114625
GCA_013369335	Vibrio sp013369335
GCA_014694375	Vibrio sp014694375
GCA_015223435	Vibrio hibernica
GCA_009874545	Vibrio nitrifigilis
GCA_015686695	Vibrio nitrifigilis
GCA_018860525	Vibrio hepatarius_B
GCA_004804295	Vibrio sp004804295
GCA_019226825	Vibrio sp004804295
GCA_022397915	Vibrio sp022397915
GCA_022836845	Vibrio sp022836845
GCA_023145695	Vibrio sp023145695
GCA_023195835	Vibrio sinaloensis_C
GCA_023634645	Vibrio sp023634645
GCA_900089835	Vibrio thalassae
GCA_003263805	Vibrio marisflavi
GCA_921294215	Vibrio marisflavi
