GCA_000165125	Vibrio caribbeanicus
GCA_000169995	Vibrio sp000169995
GCA_000189255	Vibrio brasiliensis
GCA_000272105	Vibrio splendidus_I
GCA_000272405	Vibrio tasmaniensis_A
GCA_000286955	Vibrio rumoiensis_A
GCA_000467185	Vibrio ezurae
GCA_000478685	Vibrio katoptron
GCA_000695745	Vibrio madracius
GCA_000711795	Vibrio pacinii
GCA_000731795	Vibrio blepharus
GCA_000755425	Vibrio maritimus_A
GCA_000967545	Vibrio galatheae
GCA_001012815	Vibrio mexicanus
GCA_001547935	Vibrio tritonius
GCA_001591105	Vibrio nereis
GCA_001635455	Vibrio sp001635455
GCA_001639065	Vibrio barjaei
GCA_001676025	Vibrio sp001676025
GCA_001854765	Vibrio sonorensis
GCA_001895205	Vibrio injensis
GCA_002157735	Vibrio aphrogenes
GCA_002218025	Vibrio casei
GCA_002218045	Vibrio rumoiensis
GCA_002342685	Vibrio sp002342685
GCA_002563795	Vibrio sp002563795
GCA_002749895	Vibrio fujianensis
GCA_002811245	Vibrio salilacus
GCA_002849855	Vibrio azureus
GCA_002873335	Vibrio sp002873335
GCA_002873455	Vibrio splendidus_J
GCA_002875705	Vibrio sp002875705
GCA_002934045	Vibrio gangliei
GCA_003263775	Vibrio maritimus
GCA_003263785	Vibrio variabilis
GCA_003263845	Vibrio aestivus
GCA_003350295	Vibrio tetraodonis
GCA_003350325	Vibrio rhodolitus
GCA_003569005	Vibrio superstes
GCA_003716875	Vibrio zhugei
GCA_005281835	Vibrio profundi
GCA_006124995	Vibrio sp006124995
GCA_007124475	Vibrio sp007124475
GCA_007858795	Vibrio sp007858795
GCA_007990935	Vibrio sagamiensis
GCA_009363415	Vibrio aquimaris
GCA_010587385	Vibrio astriarenae
GCA_013074385	Vibrio ostreicida
GCA_013114595	Vibrio sp013114595
GCA_013114625	Vibrio sp013114625
GCA_013369335	Vibrio sp013369335
GCA_014694375	Vibrio sp014694375
GCA_015223435	Vibrio hibernica
GCA_015686695	Vibrio nitrifigilis
GCA_018222805	Vibrio sp018222805
GCA_018860525	Vibrio hepatarius_B
GCA_019226825	Vibrio sp004804295
GCA_022397915	Vibrio sp022397915
GCA_022836845	Vibrio sp022836845
GCA_023145695	Vibrio sp023145695
GCA_023195835	Vibrio sinaloensis_C
GCA_023634645	Vibrio sp023634645
GCA_024346875	Vibrio gallicus
GCA_024346935	Vibrio inusitatus
GCA_024346975	Vibrio neonatus
GCA_024347015	Vibrio pectenicida
GCA_024347075	Vibrio rarus
GCA_024347315	Vibrio atlanticus
GCA_024347335	Vibrio celticus
GCA_024347575	Vibrio pelagius
GCA_024347635	Vibrio tasmaniensis
GCA_900089835	Vibrio thalassae
GCA_921294215	Vibrio marisflavi
