GCA_000165125	Vibrio caribbeanicus
GCA_000169995	Vibrio sp000169995
GCA_000171815	Vibrio sp000171815
GCA_000176135	Vibrio coralliilyticus
GCA_000176155	Vibrio metschnikovii
GCA_000176175	Vibrio furnissii
GCA_000176235	Vibrio orientalis
GCA_000189255	Vibrio brasiliensis
GCA_000189275	Vibrio sinaloensis_B
GCA_000222585	Vibrio scophthalmi
GCA_000222605	Vibrio ichthyoenteri
GCA_000222685	Vibrio nigripulchritudo
GCA_000257205	Vibrio ordalii
GCA_000272045	Vibrio crassostreae_C
GCA_000272105	Vibrio splendidus_I
GCA_000272405	Vibrio tasmaniensis_A
GCA_000286955	Vibrio rumoiensis_A
GCA_000287055	Vibrio sp000287055
GCA_000338875	Vibrio mimicus
GCA_000354175	Vibrio alginolyticus
GCA_000400365	Vibrio jasicida
GCA_000417905	Vibrio natriegens
GCA_000426765	Vibrio litoralis
GCA_000467125	Vibrio proteolyticus
GCA_000467185	Vibrio ezurae
GCA_000478685	Vibrio katoptron
GCA_000496695	Vibrio halioticoli
GCA_000621645	Vibrio cholerae
GCA_000695685	Vibrio fortis_A
GCA_000695745	Vibrio madracius
GCA_000696385	Vibrio metoecus
GCA_000711795	Vibrio pacinii
GCA_000731795	Vibrio blepharus
GCA_000740015	Vibrio diazotrophicus
GCA_000755425	Vibrio maritimus_A
GCA_000764325	Vibrio navarrensis
GCA_000772105	Vibrio tubiashii
GCA_000775715	Vibrio tubiashii_A
GCA_000808535	Vibrio sinaloensis
GCA_000817815	Vibrio owensii
GCA_000827885	Vibrio renipiscarius
GCA_000830505	Vibrio mytili
GCA_000967495	Vibrio neptunius
GCA_000967545	Vibrio galatheae
GCA_001012815	Vibrio mexicanus
GCA_001048675	Vibrio diabolicus
GCA_001274785	Vibrio hepatarius
GCA_001399455	Vibrio bivalvicida
GCA_001506075	Vibrio sp001506075
GCA_001547935	Vibrio tritonius
GCA_001557875	Vibrio splendidus_F
GCA_001591105	Vibrio nereis
GCA_001591145	Vibrio harveyi
GCA_001635455	Vibrio sp001635455
GCA_001639065	Vibrio barjaei
GCA_001676025	Vibrio sp001676025
GCA_001677275	Vibrio breoganii
GCA_001695575	Vibrio europaeus
GCA_001854765	Vibrio sonorensis
GCA_001874155	Vibrio sp001874155
GCA_001895205	Vibrio injensis
GCA_001989995	Vibrio anguillarum
GCA_002100145	Vibrio sp002100145
GCA_002157735	Vibrio aphrogenes
GCA_002163755	Vibrio campbellii
GCA_002196515	Vibrio gazogenes_A
GCA_002218005	Vibrio algivorus
GCA_002218025	Vibrio casei
GCA_002218045	Vibrio rumoiensis
GCA_002224265	Vibrio vulnificus
GCA_002342685	Vibrio sp002342685
GCA_002563795	Vibrio sp002563795
GCA_002608565	Vibrio sp002608565
GCA_002741985	Vibrio rotiferianus
GCA_002749895	Vibrio fujianensis
GCA_002811245	Vibrio salilacus
GCA_002812955	Vibrio sp002812955
GCA_002849855	Vibrio azureus
GCA_002873335	Vibrio sp002873335
GCA_002873395	Vibrio sp002873395
GCA_002873455	Vibrio splendidus_J
GCA_002875705	Vibrio sp002875705
GCA_002875945	Vibrio lentus_A
GCA_002877365	Vibrio sp002877365
GCA_002906655	Vibrio hyugaensis
GCA_002933855	Vibrio penaeicida_A
GCA_002934045	Vibrio gangliei
GCA_002954585	Vibrio chagasii_A
GCA_003144035	Vibrio albus
GCA_003263775	Vibrio maritimus
GCA_003263785	Vibrio variabilis
GCA_003263845	Vibrio aestivus
GCA_003350295	Vibrio tetraodonis
GCA_003350325	Vibrio rhodolitus
GCA_003415655	Vibrio maerlii
GCA_003544875	Vibrio alfacsensis
GCA_003569005	Vibrio superstes
GCA_003605645	Vibrio sinensis
GCA_003716875	Vibrio zhugei
GCA_003856525	Vibrio viridaestus
GCA_003970385	Vibrio aquaticus
GCA_004551525	Vibrio ouci
GCA_005281835	Vibrio profundi
GCA_006124995	Vibrio sp006124995
GCA_007124475	Vibrio sp007124475
GCA_007858795	Vibrio sp007858795
GCA_007990935	Vibrio sagamiensis
GCA_009363415	Vibrio aquimaris
GCA_009601765	Vibrio algicola
GCA_009665255	Vibrio metoecus_B
GCA_009763805	Vibrio cidicii
GCA_009811315	Vibrio atypicus
GCA_009938165	Vibrio taketomensis
GCA_009938205	Vibrio panuliri
GCA_009938225	Vibrio ponticus
GCA_010587385	Vibrio astriarenae
GCA_011064285	Vibrio ziniensis
GCA_011306175	Vibrio sp011306175
GCA_011806575	Vibrio hepatarius_A
GCA_012395185	Vibrio aestuarianus
GCA_012641465	Vibrio agarilyticus
