hypothetical protein	non-RbmB	Unknown_nonRbmB
Pectate disaccharide-lyase	non-RbmB	Pectatelyase
hypothetical protein	RbmB	RbmB
Pectinesterase A	non-RbmB	Pectinesterase
putative ABC transporter binding protein NosD	non-RbmB	NosD
Pectate lyase L	non-RbmB	Pectatelyase
Pectate lyase A	non-RbmB	Pectatelyase
Pectate lyase	non-RbmB	Pectatelyase
Exo-poly-alpha-D-galacturonosidase	non-RbmB	Pectatelyase
Mannuronan C5-epimerase	non-RbmB	AlgG
Pectinesterase B	non-RbmB	Pectinesterase
16S rRNA endonuclease CdiA	non-RbmB	Nuclease_CdiA
Pectate lyase E	non-RbmB	Pectatelyase
Mannuronan C5-epimerase AlgG	non-RbmB	AlgG
Pectate trisaccharide-lyase	non-RbmB	Pectatelyase
tRNA nuclease CdiA	non-RbmB	Nuclease_CdiA
putative autotransporter	non-RbmB	Other
Chondroitinase-B	non-RbmB	Other
Inulin fructotransferase [DFA-I-forming]	non-RbmB	Other
