Description	Count	contig
CDS	73	GCA_015343595.1_707|467-47381
connector	3	GCA_015343595.1_707|467-47381
DNA, RNA and nucleotide metabolism	6	GCA_015343595.1_707|467-47381
head and packaging	4	GCA_015343595.1_707|467-47381
integration and excision	1	GCA_015343595.1_707|467-47381
lysis	4	GCA_015343595.1_707|467-47381
moron, auxiliary metabolic gene and host takeover	2	GCA_015343595.1_707|467-47381
other	1	GCA_015343595.1_707|467-47381
tail	11	GCA_015343595.1_707|467-47381
transcription regulation	5	GCA_015343595.1_707|467-47381
unknown function	36	GCA_015343595.1_707|467-47381
tRNAs	0	GCA_015343595.1_707|467-47381
CRISPRs	0	GCA_015343595.1_707|467-47381
tmRNAs	0	GCA_015343595.1_707|467-47381
VFDB_Virulence_Factors	0	GCA_015343595.1_707|467-47381
CARD_AMR_Genes	0	GCA_015343595.1_707|467-47381
