Description	Count	contig
CDS	3	GCA_013114135.1_55|3-1673
connector	0	GCA_013114135.1_55|3-1673
DNA, RNA and nucleotide metabolism	1	GCA_013114135.1_55|3-1673
head and packaging	0	GCA_013114135.1_55|3-1673
integration and excision	0	GCA_013114135.1_55|3-1673
lysis	0	GCA_013114135.1_55|3-1673
moron, auxiliary metabolic gene and host takeover	0	GCA_013114135.1_55|3-1673
other	0	GCA_013114135.1_55|3-1673
tail	0	GCA_013114135.1_55|3-1673
transcription regulation	0	GCA_013114135.1_55|3-1673
unknown function	2	GCA_013114135.1_55|3-1673
tRNAs	0	GCA_013114135.1_55|3-1673
CRISPRs	0	GCA_013114135.1_55|3-1673
tmRNAs	0	GCA_013114135.1_55|3-1673
VFDB_Virulence_Factors	0	GCA_013114135.1_55|3-1673
CARD_AMR_Genes	0	GCA_013114135.1_55|3-1673
