seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
GCA_013391065.1_604	1	26	2	17003	0.967	0.98	1	26	2	17003	NA	NA	0	1	26	2	17003	0.967	0.0	26.9	0.0	38.5	11.5	23.1	4	dsDNAphage	linear	GCA_013391065.1_604||full	0.967	dsDNAphage
GCA_013391065.1_480	1	2	32	1779	1.0	1.0	1	2	32	1779	NA	NA	0	1	2	32	1779	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	GCA_013391065.1_480||full	1.0	ssDNA
GCA_013391065.1_389	1	5	2	2625	0.5	0.5	1	5	2	2625	NA	NA	0	1	5	2	2625	0.5	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	linear	GCA_013391065.1_389||full	0.5	ssDNA
GCA_013391065.1_382	1	3	116	2818	0.853	0.853	1	3	116	2818	NA	NA	0	1	3	116	2818	0.853	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_013391065.1_382||full	0.853	ssDNA
GCA_013391065.1_361	1	7	1	3160	0.787	0.787	1	7	1	3160	NA	NA	0	1	7	1	3160	0.787	0.0	0.0	0.0	28.6	0.0	71.4	0	dsDNAphage	linear	GCA_013391065.1_361||full	0.787	dsDNAphage
GCA_013391065.1_358	1	4	2	3223	0.513	0.513	1	4	2	3223	NA	NA	0	1	4	2	3223	0.513	0.0	0.0	0.0	25.0	25.0	50.0	0	dsDNAphage	linear	GCA_013391065.1_358||full	0.513	dsDNAphage
GCA_013391065.1_308	1	7	39	3946	0.873	0.873	1	7	39	3946	NA	NA	0	1	7	39	3946	0.873	0.0	28.6	0.0	42.9	0.0	28.6	1	dsDNAphage	linear	GCA_013391065.1_308||full	0.873	dsDNAphage
GCA_013391065.1_300	1	7	3	4065	0.667	0.667	1	7	3	4065	NA	NA	0	1	7	3	4065	0.667	0.0	0.0	0.0	14.3	0.0	85.7	0	ssDNA	linear	GCA_013391065.1_300||full	0.667	ssDNA
GCA_013391065.1_286	1	8	3	4215	0.74	0.74	1	8	3	4215	NA	NA	0	1	8	3	4215	0.74	0.0	25.0	0.0	37.5	0.0	37.5	0	dsDNAphage	linear	GCA_013391065.1_286||full	0.74	dsDNAphage
GCA_013391065.1_237	1	7	1	4769	0.84	0.84	1	7	1	4769	NA	NA	0	1	7	1	4769	0.84	0.0	0.0	0.0	14.3	0.0	85.7	0	dsDNAphage	linear	GCA_013391065.1_237||full	0.84	dsDNAphage
GCA_013391065.1_170	1	4	2	6488	0.62	0.62	1	4	2	6488	NA	NA	0	1	4	2	6488	0.62	0.0	0.0	0.0	25.0	0.0	75.0	0	dsDNAphage	linear	GCA_013391065.1_170||full	0.62	dsDNAphage
