qname	tname	num_alns	pid	qcov	tcov
GCA_000152445.1_22_543016-617581	GCA_002890525.1_20_188736-246971	2	99.03	49.78	63.73
GCA_000152445.1_22_543016-617581	GCA_003312085.1_8_187662-228243	2	98.75	50.95	93.63
GCA_000152445.1_22_543016-617581	GCA_001718105.1_13_3-65679	5	98.28	48.42	54.97
GCA_000152445.1_22_543016-617581	GCA_013357885.1_2_844226-931927	6	98.01	69.27	58.87
GCA_000152445.1_22_543016-617581	GCA_002284395.1_23_3-59781	3	97.88	57.61	71.81
GCA_000152445.1_22_543016-617581	GCA_006803115.1_114_2-22835	2	98.47	30.44	99.42
GCA_000152445.1_22_543016-617581	GCA_001402425.1_8_259547-342567	7	97.93	74.55	66.97
GCA_000152445.1_22_543016-617581	GCA_000174235.1_4_679590-760459	15	97.67	72.11	71.23
GCA_000152445.1_22_543016-617581	GCA_008084455.1_31_215426-283013	5	98.12	43.01	47.26
GCA_000152445.1_22_543016-617581	GCA_008084825.1_48_274300-312356	5	97.87	41.88	81.73
GCA_000152445.1_22_543016-617581	GCA_006802915.1_4_1-20316	4	98.25	25.25	94.21
GCA_000152445.1_22_543016-617581	GCA_008084855.1_11_466-72979	5	97.92	38.5	39.58
GCA_000152445.1_22_543016-617581	GCA_006803025.1_186_494-68331	6	98.34	44.45	49.34
GCA_000152445.1_22_543016-617581	GCA_024745065.1_41_90-62542	8	97.43	58.63	69.97
GCA_000152445.1_22_543016-617581	GCA_006802865.1_86_58365-112165	10	97.6	45.99	64.28
GCA_000152445.1_22_543016-617581	GCA_003349265.1_79_1-37777	3	97.74	43.57	85.98
GCA_000152445.1_22_543016-617581	GCA_006802475.1_26_3-21669	4	98.02	26.25	91.91
GCA_000152445.1_22_543016-617581	GCA_006802275.1_45_165-20970	2	98.13	26.57	95.28
GCA_000152445.1_22_543016-617581	GCA_003348095.1_58_51708-123894	8	97.79	38.82	40.52
GCA_000152445.1_22_543016-617581	GCA_003348545.1_34_456-30917	3	98.26	28.82	70.52
GCA_000152445.1_22_543016-617581	GCA_008083975.1_34_193103-213681	2	98.36	27.61	100.0
GCA_000152445.1_22_543016-617581	GCA_006802295.1_26_349-27343	5	98.19	30.67	85.82
GCA_000152445.1_22_543016-617581	GCA_006803105.1_92_74918-117126	7	97.54	48.13	85.77
GCA_000152445.1_22_543016-617581	GCA_006802555.1_62_3-49700	8	97.04	45.8	69.32
GCA_000152445.1_22_543016-617581	GCA_006802255.1_97_240-42376	6	97.49	48.03	85.75
GCA_000152445.1_22_543016-617581	GCA_006802165.1_102_918-55522	7	97.74	58.62	80.63
GCA_000152445.1_22_543016-617581	GCA_002097735.1_119_163-20636	2	98.18	26.71	97.22
GCA_000152445.1_22_543016-617581	GCA_006803015.1_171_174-18850	2	98.07	25.04	100.0
GCA_000152445.1_22_543016-617581	GCA_006803005.1_10_112-28147	7	97.97	26.02	70.28
GCA_000152445.1_22_543016-617581	GCA_003348735.1_7_18492-90684	6	97.62	38.05	39.29
GCA_000152445.1_22_543016-617581	GCA_000176715.1_9_60706-133991	4	97.69	44.81	45.59
GCA_000152445.1_22_543016-617581	GCA_013111105.1_61_176-24543	4	97.79	23.26	72.47
GCA_000152445.1_22_543016-617581	GCA_001402685.1_78_2228-104566	7	97.3	58.05	42.35
GCA_000152445.1_22_543016-617581	GCA_001857155.1_154_368-57764	4	98.03	38.93	50.37
GCA_000152445.1_22_543016-617581	GCA_005636045.1_14_2-48329	3	97.53	41.05	63.33
GCA_000152445.1_22_543016-617581	GCA_006803135.1_89_435-42498	7	97.49	47.7	85.28
GCA_000152445.1_22_543016-617581	GCA_008084025.1_50_391-65479	7	97.6	37.41	42.87
GCA_000152445.1_22_543016-617581	GCA_008083535.1_10_145896-212356	7	97.29	42.72	48.39
GCA_000152445.1_22_543016-617581	GCA_008083455.1_7_392948-468056	9	97.45	40.76	40.47
GCA_000152445.1_22_543016-617581	GCA_017426785.1_13_229-59908	10	97.23	43.16	54.26
GCA_000152445.1_22_543016-617581	GCA_017426915.1_37_353014-415942	4	97.46	39.12	46.18
GCA_000152445.1_22_543016-617581	GCA_902810005.1_5_147023-196736	6	97.48	43.59	65.14
GCA_000152445.1_22_543016-617581	GCA_006802395.1_184_1-36213	3	97.86	42.43	87.36
GCA_000152445.1_22_543016-617581	GCA_002114205.1_2_53539-106543	3	98.21	41.75	58.72
GCA_000152445.1_22_543016-617581	GCA_013110975.1_11_34-69935	6	97.52	57.63	61.91
GCA_000152445.1_22_543016-617581	GCA_006802575.1_169_256-36109	6	97.78	40.48	85.01
GCA_000152445.1_22_543016-617581	GCA_006802345.1_73_44-49794	8	97.65	56.15	84.77
GCA_000152445.1_22_543016-617581	GCA_013111195.1_37_3-42974	3	97.12	39.96	69.35
