gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
VTLGAWYY_CDS_0001	1365	1	-	GCA_000174115.1_4_690852-779483	-3100684.6505193864	14873	179.0	0.296	2.68e-50	p272913 VI_04754	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	VTLGAWYY_CDS_0001
VTLGAWYY_CDS_0002	2020	1367	-	GCA_000174115.1_4_690852-779483	-263656.5337375168	22554	56.0	0.299	1.757e-11	p88007 VI_12426	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	VTLGAWYY_CDS_0002
VTLGAWYY_CDS_0003	3458	2034	-	GCA_000174115.1_4_690852-779483	-193331.57453394704	1916	363.0	0.477	1.88e-112	p354996 VI_11372	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	VTLGAWYY_CDS_0003
VTLGAWYY_CDS_0004	4254	3487	-	GCA_000174115.1_4_690852-779483	-1516962.136544564	731	120.0	0.377	2.992e-33	p399702 VI_01090	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	VTLGAWYY_CDS_0004
VTLGAWYY_CDS_0005	5225	4188	-	GCA_000174115.1_4_690852-779483	-57144061.60640397	857	83.0	0.284	3.84e-19	p280816 VI_02251	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	VTLGAWYY_CDS_0005
VTLGAWYY_CDS_0006	5294	5395	+	GCA_000174115.1_4_690852-779483	-3.4552063984689183	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	VTLGAWYY_CDS_0006
VTLGAWYY_CDS_0007	6531	5455	-	GCA_000174115.1_4_690852-779483	-36366.031622492585	37901	307.0	0.516	2.534e-97	p8230 VI_06545	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	VTLGAWYY_CDS_0007
VTLGAWYY_CDS_0008	6665	6937	+	GCA_000174115.1_4_690852-779483	-617.5213859039021	6180	143.0	0.769	1.322e-43	p8229 VI_06545	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	VTLGAWYY_CDS_0008
VTLGAWYY_CDS_0009	7026	7124	+	GCA_000174115.1_4_690852-779483	-3.035533443040176	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	VTLGAWYY_CDS_0009
VTLGAWYY_CDS_0010	8341	7118	-	GCA_000174115.1_4_690852-779483	-77859288.90819165	216	182.0	0.413	7.797e-54	p381219 VI_06799	PHANOTATE	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	VTLGAWYY_CDS_0010
