gid	species	contig_ct	vps-I_VIG_ct	vps-II_VIG_ct	rbm_genes
GCA_000009745	Vibrio vulnificus	3	2	4	
GCA_000017705	Vibrio campbellii	3	0	4	
GCA_000024825	Vibrio diabolicus	2	0	4	
GCA_000039765	Vibrio vulnificus	2	2	4	
GCA_000152485	Vibrio diabolicus	105	0	4	
GCA_000152765	Vibrio splendidus	26	0	0	
GCA_000153505	Vibrio alginolyticus	20	0	4	
GCA_000154025	Vibrio campbellii	205	0	4	
GCA_000176055	Vibrio alginolyticus	188	0	3	
GCA_000176155	Vibrio metschnikovii	11	0	0	
GCA_000176175	Vibrio furnissii	24	0	4	
GCA_000176235	Vibrio orientalis	5	0	4	
GCA_000181535	Vibrio mediterranei	158	0	0	
GCA_000182345	Vibrio parahaemolyticus	149	0	4	
GCA_000182365	Vibrio parahaemolyticus	164	0	4	
GCA_000182385	Vibrio parahaemolyticus	54	0	4	
GCA_000182465	Vibrio parahaemolyticus	164	0	4	
GCA_000182685	Vibrio owensii	140	0	4	
GCA_000184325	Vibrio furnissii	2	0	4	
GCA_000186585	Vibrio vulnificus	2	2	4	
GCA_000195225	Vibrio rotiferianus	79	0	4	
GCA_000195415	Vibrio parahaemolyticus	33	0	4	
GCA_000196095	Vibrio parahaemolyticus	2	0	4	
GCA_000222565	Vibrio scophthalmi	103	0	3	rbmEF,rbmD
GCA_000222585	Vibrio scophthalmi	230	0	3	rbmD,rbmEF
GCA_000222625	Vibrio chagasii_A	91	0	0	
GCA_000222645	Vibrio orientalis	105	0	4	
GCA_000222685	Vibrio nigripulchritudo	332	0	0	
GCA_000241385	Vibrio natriegens	2	0	4	
GCA_000247005	Vibrio cyclitrophicus	159	0	0	
GCA_000252345	Vibrio campbellii	319	0	0	
GCA_000256095	Vibrio cyclitrophicus	50	2	1	
GCA_000256115	Vibrio cyclitrophicus	132	2	0	
GCA_000256135	Vibrio cyclitrophicus	109	2	1	
GCA_000256165	Vibrio cyclitrophicus	237	2	2	
GCA_000256185	Vibrio cyclitrophicus	35	0	0	
GCA_000256205	Vibrio cyclitrophicus	73	3	0	
GCA_000256245	Vibrio cyclitrophicus	138	0	0	
GCA_000256265	Vibrio cyclitrophicus	45	0	0	
GCA_000256285	Vibrio cyclitrophicus	73	0	0	
GCA_000256305	Vibrio cyclitrophicus	84	0	0	
GCA_000256325	Vibrio cyclitrophicus	92	0	0	
GCA_000256345	Vibrio cyclitrophicus	80	0	0	
GCA_000256365	Vibrio cyclitrophicus	47	0	0	
GCA_000256385	Vibrio cyclitrophicus	93	0	0	
GCA_000256405	Vibrio cyclitrophicus	58	3	0	
GCA_000256425	Vibrio cyclitrophicus	126	0	0	
GCA_000256445	Vibrio cyclitrophicus	56	0	0	
GCA_000256465	Vibrio cyclitrophicus	45	0	0	
GCA_000256485	Vibrio splendidus	87	0	0	
GCA_000256605	Vibrio cyclitrophicus	109	0	0	
GCA_000259875	Vibrio campbellii	121	0	4	
GCA_000259935	Vibrio harveyi	86	0	4	
GCA_000269725	Vibrio vulnificus	153	2	4	
GCA_000269745	Vibrio vulnificus	269	0	4	
GCA_000269765	Vibrio vulnificus	329	0	3	
GCA_000272045	Vibrio crassostreae_C	43	0	0	
GCA_000272065	Vibrio crassostreae_C	595	0	0	
GCA_000272085	Vibrio crassostreae_C	296	0	0	
GCA_000272125	Vibrio splendidus	183	0	0	
GCA_000272165	Vibrio kanaloae	50	3	1	
GCA_000272185	Vibrio crassostreae_C	4	0	0	
GCA_000272205	Vibrio crassostreae_C	173	0	0	
GCA_000272225	Vibrio echinoideorum	110	3	1	
GCA_000272245	Vibrio splendidus	40	0	0	
GCA_000272265	Vibrio splendidus	58	1	1	
GCA_000272285	Vibrio splendidus	282	0	0	
GCA_000272305	Vibrio splendidus	313	0	0	
GCA_000272325	Vibrio splendidus	340	0	0	
GCA_000272345	Vibrio splendidus	603	0	0	
GCA_000272425	Vibrio lentus	370	0	0	
GCA_000272445	Vibrio lentus	58	0	0	rbmD
GCA_000275705	Vibrio harveyi	65	0	4	
GCA_000280885	Vibrio breoganii	169	0	0	
GCA_000286975	Vibrio breoganii	176	0	0	
GCA_000286995	Vibrio breoganii	74	0	0	
GCA_000287015	Vibrio sp000287055	1077	0	4	
GCA_000287035	Vibrio sp000287055	285	0	4	
GCA_000287055	Vibrio sp000287055	137	0	4	
GCA_000287195	Vibrio sp000287055	174	0	4	
GCA_000299635	Vibrio vulnificus	194	0	4	
GCA_000303175	Vibrio vulnificus	193	0	4	
GCA_000305715	Vibrio harveyi	138	0	4	
GCA_000305755	Vibrio owensii	87	3	4	
GCA_000315135	Vibrio parahaemolyticus	60	0	4	
GCA_000316925	Vibrio alginolyticus	168	0	4	
GCA_000316985	Vibrio sp000316985	400	0	0	
GCA_000328405	Vibrio parahaemolyticus	2	0	4	
GCA_000334195	Vibrio campbellii	213	0	4	
GCA_000341445	Vibrio diabolicus	129	0	4	
GCA_000342305	Vibrio vulnificus	86	0	4	
GCA_000347495	Vibrio parahaemolyticus	83	0	4	
GCA_000347555	Vibrio harveyi	61	3	4	
GCA_000354175	Vibrio alginolyticus	2	0	4	
GCA_000388025	Vibrio parahaemolyticus	167	0	4	
GCA_000400205	Vibrio campbellii	229	0	4	
GCA_000400225	Vibrio owensii	174	0	4	
GCA_000400245	Vibrio jasicida	282	0	4	
GCA_000400285	Vibrio jasicida	168	0	4	
GCA_000400305	Vibrio harveyi	245	0	4	
GCA_000400325	Vibrio owensii	341	0	4	
GCA_000400345	Vibrio campbellii	387	0	4	
GCA_000400365	Vibrio jasicida	278	0	4	
GCA_000400385	Vibrio owensii	451	0	4	
GCA_000400405	Vibrio rotiferianus	318	0	4	
GCA_000417625	Vibrio fluvialis	49	0	4	
GCA_000417905	Vibrio natriegens	45	0	4	
GCA_000418995	Vibrio fluvialis	84	0	4	
GCA_000426765	Vibrio litoralis	20	2	4	
GCA_000430405	Vibrio parahaemolyticus	2	0	4	
GCA_000430425	Vibrio parahaemolyticus	2	0	4	
GCA_000438785	Vibrio natriegens	172	0	4	
GCA_000442925	Vibrio harveyi	70	0	4	
GCA_000454145	Vibrio parahaemolyticus	14	0	4	
