gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
EMXJOWTM_CDS_0001	1935	1	-	GCA_024748415.1_32_229720-309677	-181709151706.39587	2825	135.0	0.316	4.216e-36	p215496 VI_08349	PHANOTATE	CDS	#ffdf59	polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	EMXJOWTM_CDS_0001
EMXJOWTM_CDS_0002	2044	1952	-	GCA_024748415.1_32_229720-309677	-1.435978124440478	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	EMXJOWTM_CDS_0002
EMXJOWTM_CDS_0003	2155	2271	+	GCA_024748415.1_32_229720-309677	-0.1016356085587201	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	EMXJOWTM_CDS_0003
EMXJOWTM_CDS_0004	2295	2417	+	GCA_024748415.1_32_229720-309677	-2.443097961337955	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	EMXJOWTM_CDS_0004
EMXJOWTM_CDS_0005	2448	2546	+	GCA_024748415.1_32_229720-309677	-2.228817214878596	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	EMXJOWTM_CDS_0005
EMXJOWTM_CDS_0006	3763	2540	-	GCA_024748415.1_32_229720-309677	-5177758.420064906	216	179.0	0.409	6.449999999999999e-53	p381219 VI_06799	PHANOTATE	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	EMXJOWTM_CDS_0006
EMXJOWTM_CDS_0007	3927	3739	-	GCA_024748415.1_32_229720-309677	-8.395893612859437	66	35.0	0.344	4.532e-06	NC_023692_p35	PHANOTATE	CDS	#fea328	excisionase and transcriptional regulator	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	EMXJOWTM_CDS_0007
EMXJOWTM_CDS_0008	4197	3937	-	GCA_024748415.1_32_229720-309677	-4.140469961768895	16987	179.0	0.967	3.304e-56	p435607 VI_11787	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	EMXJOWTM_CDS_0008
EMXJOWTM_CDS_0009	5178	4465	-	GCA_024748415.1_32_229720-309677	-2518.394901781556	6201	91.0	0.4	1.422e-24	p89843 VI_01594	PHANOTATE	CDS	#a861e3	CI-like repressor	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	EMXJOWTM_CDS_0009
EMXJOWTM_CDS_0010	5254	5448	+	GCA_024748415.1_32_229720-309677	-28.69315228606332	409	48.0	0.551	8.419e-11	p88852 VI_07592	PHANOTATE	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	EMXJOWTM_CDS_0010
