Description	Count	contig
CDS	76	GCA_013114135.1_2|316589-363522
connector	2	GCA_013114135.1_2|316589-363522
DNA, RNA and nucleotide metabolism	1	GCA_013114135.1_2|316589-363522
head and packaging	4	GCA_013114135.1_2|316589-363522
integration and excision	2	GCA_013114135.1_2|316589-363522
lysis	0	GCA_013114135.1_2|316589-363522
moron, auxiliary metabolic gene and host takeover	0	GCA_013114135.1_2|316589-363522
other	3	GCA_013114135.1_2|316589-363522
tail	6	GCA_013114135.1_2|316589-363522
transcription regulation	3	GCA_013114135.1_2|316589-363522
unknown function	55	GCA_013114135.1_2|316589-363522
tRNAs	0	GCA_013114135.1_2|316589-363522
CRISPRs	0	GCA_013114135.1_2|316589-363522
tmRNAs	0	GCA_013114135.1_2|316589-363522
VFDB_Virulence_Factors	0	GCA_013114135.1_2|316589-363522
CARD_AMR_Genes	0	GCA_013114135.1_2|316589-363522
