gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
MYHXYUDL_CDS_0001	1104	1	-	GCA_013114135.1_14|155-62377	-1144111704.0347064	1112	38.0	0.17	8.046e-06	KJ019126_p191	PHANOTATE	CDS	#ff59f5	phosphoribosylaminoimidazole-succinocarboxamide synthase	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	MYHXYUDL_CDS_0001
MYHXYUDL_CDS_0002	1168	1260	+	GCA_013114135.1_14|155-62377	-0.0983771512887872	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	MYHXYUDL_CDS_0002
MYHXYUDL_CDS_0003	1812	1342	-	GCA_013114135.1_14|155-62377	-321.1742887713854	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	MYHXYUDL_CDS_0003
MYHXYUDL_CDS_0004	2183	2076	-	GCA_013114135.1_14|155-62377	-4.288465359660205	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	MYHXYUDL_CDS_0004
MYHXYUDL_CDS_0005	2400	2218	-	GCA_013114135.1_14|155-62377	-63.25271472199263	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	MYHXYUDL_CDS_0005
MYHXYUDL_CDS_0006	3643	2570	-	GCA_013114135.1_14|155-62377	-223353486.731589	8741	52.0	0.429	1.001e-09	p1111 VI_01814	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	MYHXYUDL_CDS_0006
MYHXYUDL_CDS_0007	4428	3745	-	GCA_013114135.1_14|155-62377	-733435.5973306779	421	53.0	0.262	3.058e-10	EU676000_p47	PHANOTATE	CDS	#c9c9c9	unknown function	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	MYHXYUDL_CDS_0007
MYHXYUDL_CDS_0008	4573	4472	-	GCA_013114135.1_14|155-62377	-2.127419551164636	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	MYHXYUDL_CDS_0008
MYHXYUDL_CDS_0009	5323	4634	-	GCA_013114135.1_14|155-62377	-176385.77285264753	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	MYHXYUDL_CDS_0009
MYHXYUDL_CDS_0010	5493	5359	-	GCA_013114135.1_14|155-62377	-0.3618845172286714	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	MYHXYUDL_CDS_0010
MYHXYUDL_CDS_0011	5538	8588	+	GCA_013114135.1_14|155-62377	-2.9736001830327545e+21	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	MYHXYUDL_CDS_0011
MYHXYUDL_CDS_0012	8665	8763	+	GCA_013114135.1_14|155-62377	-0.1668961736173294	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0012	MYHXYUDL_CDS_0012
MYHXYUDL_CDS_0013	8777	9241	+	GCA_013114135.1_14|155-62377	-414.50541296910814	26245	101.0	0.515	1.834e-28	p6206 VI_06632	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0013	MYHXYUDL_CDS_0013
MYHXYUDL_CDS_0014	9222	9359	+	GCA_013114135.1_14|155-62377	-0.4492583017507673	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0014	MYHXYUDL_CDS_0014
MYHXYUDL_CDS_0015	10168	9389	-	GCA_013114135.1_14|155-62377	-949446.573735774	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0015	MYHXYUDL_CDS_0015
MYHXYUDL_CDS_0016	10241	10149	-	GCA_013114135.1_14|155-62377	-0.760451954960532	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0016	MYHXYUDL_CDS_0016
MYHXYUDL_CDS_0017	11888	10341	-	GCA_013114135.1_14|155-62377	-859712419.4941293	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0017	MYHXYUDL_CDS_0017
MYHXYUDL_CDS_0018	13582	11888	-	GCA_013114135.1_14|155-62377	-32317492625.48401	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0018	MYHXYUDL_CDS_0018
MYHXYUDL_CDS_0019	14734	13691	-	GCA_013114135.1_14|155-62377	-569416.2897939545	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0019	MYHXYUDL_CDS_0019
MYHXYUDL_CDS_0020	15986	14727	-	GCA_013114135.1_14|155-62377	-127831328.93312033	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0020	MYHXYUDL_CDS_0020
MYHXYUDL_CDS_0021	16953	16102	-	GCA_013114135.1_14|155-62377	-67057.95103771682	10724	57.0	0.257	6.224e-12	p8222 VI_06545	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0021	MYHXYUDL_CDS_0021
MYHXYUDL_CDS_0022	17977	16997	-	GCA_013114135.1_14|155-62377	-74184.41583603117	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0022	MYHXYUDL_CDS_0022
MYHXYUDL_CDS_0023	17961	18065	+	GCA_013114135.1_14|155-62377	-3.719391880142695	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0023	MYHXYUDL_CDS_0023
MYHXYUDL_CDS_0024	18130	18315	+	GCA_013114135.1_14|155-62377	-0.0800323393336023	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0024	MYHXYUDL_CDS_0024
MYHXYUDL_CDS_0025	18367	18477	+	GCA_013114135.1_14|155-62377	-0.4522540549571062	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0025	MYHXYUDL_CDS_0025
