gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
RRMKYUPI_CDS_0001	1	1206	+	GCA_013114135.1_14|18607-61852	-989616746.345814	17497	66.0	0.554	3.766e-16	p9119 VI_09989	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	RRMKYUPI_CDS_0001
RRMKYUPI_CDS_0002	1203	4133	+	GCA_013114135.1_14|18607-61852	-7.770851123885507e+24	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	RRMKYUPI_CDS_0002
RRMKYUPI_CDS_0003	4341	4135	-	GCA_013114135.1_14|18607-61852	-51.01591691437152	66	36.0	0.339	1.811e-06	NC_023692_p35	PHANOTATE	CDS	#fea328	excisionase and transcriptional regulator	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	RRMKYUPI_CDS_0003
RRMKYUPI_CDS_0004	4802	4419	-	GCA_013114135.1_14|18607-61852	-204.153980684628	536	134.0	0.568	5.938e-40	p228132 VI_06383	PHANOTATE	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	RRMKYUPI_CDS_0004
RRMKYUPI_CDS_0005	5038	4799	-	GCA_013114135.1_14|18607-61852	-68.43205339648999	4439	57.0	0.504	3.232e-14	p119269 VI_03293	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	RRMKYUPI_CDS_0005
RRMKYUPI_CDS_0006	5029	5202	+	GCA_013114135.1_14|18607-61852	-3.8713559752321087	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	RRMKYUPI_CDS_0006
RRMKYUPI_CDS_0007	5172	5297	+	GCA_013114135.1_14|18607-61852	-0.0869383389485913	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	RRMKYUPI_CDS_0007
RRMKYUPI_CDS_0008	5741	5421	-	GCA_013114135.1_14|18607-61852	-242.4691450364972	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	RRMKYUPI_CDS_0008
RRMKYUPI_CDS_0009	6068	5802	-	GCA_013114135.1_14|18607-61852	-17.069005334700556	25678	149.0	0.818	6.9000000000000005e-46	p75789 VI_12021	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	RRMKYUPI_CDS_0009
RRMKYUPI_CDS_0010	6921	6205	-	GCA_013114135.1_14|18607-61852	-311858.8161223481	8558	71.0	0.485	1.218e-18	p316397 VI_07324	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	RRMKYUPI_CDS_0010
RRMKYUPI_CDS_0011	6946	7281	+	GCA_013114135.1_14|18607-61852	-99.52683677843451	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	RRMKYUPI_CDS_0011
RRMKYUPI_CDS_0012	7321	7869	+	GCA_013114135.1_14|18607-61852	-754.456066443254	163	76.0	0.294	1.051e-18	p171492 VI_11794	PHANOTATE	CDS	#a861e3	CII-like transcriptional activator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0012	RRMKYUPI_CDS_0012
RRMKYUPI_CDS_0013	7876	8052	+	GCA_013114135.1_14|18607-61852	-8.909836833759394	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0013	RRMKYUPI_CDS_0013
RRMKYUPI_CDS_0014	8049	8288	+	GCA_013114135.1_14|18607-61852	-134.18495231563384	2044	101.0	0.625	5.762e-29	p221221 VI_00834	PHANOTATE	CDS	#ffdf59	RNA polymerase beta subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0014	RRMKYUPI_CDS_0014
