gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
NDWSQPNF_CDS_0001	1	1167	+	GCA_015343595.1_707|467-47381	-4421567.206203667	164	123.0	0.339	5.387000000000001e-34	p190960 VI_07687	PHANOTATE	CDS	#ffdf59	ParA-like partition protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	NDWSQPNF_CDS_0001
NDWSQPNF_CDS_0002	1170	2123	+	GCA_015343595.1_707|467-47381	-5771643.758437537	1146	289.0	0.542	8.871e-90	p43547 VI_12111	PHANOTATE	CDS	#ffdf59	ParB-like partition protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	NDWSQPNF_CDS_0002
NDWSQPNF_CDS_0003	2144	3127	+	GCA_015343595.1_707|467-47381	-222019109.1835993	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	NDWSQPNF_CDS_0003
NDWSQPNF_CDS_0004	3189	3344	+	GCA_015343595.1_707|467-47381	-60.308582666919335	22022	109.0	0.991	9.753999999999999e-33	p148698 VI_02621	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	NDWSQPNF_CDS_0004
NDWSQPNF_CDS_0005	3317	3430	+	GCA_015343595.1_707|467-47381	-0.1030301565674592	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	NDWSQPNF_CDS_0005
NDWSQPNF_CDS_0006	3786	3460	-	GCA_015343595.1_707|467-47381	-367.9756339497108	3	38.0	0.568	2.832e-07	p29899 VI_00998	PHANOTATE	CDS	#a861e3	transcriptional repressor	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	NDWSQPNF_CDS_0006
NDWSQPNF_CDS_0007	4014	3832	-	GCA_015343595.1_707|467-47381	-2.7248132118500323	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	NDWSQPNF_CDS_0007
NDWSQPNF_CDS_0008	4054	4233	+	GCA_015343595.1_707|467-47381	-56.431002416591824	27726	96.0	0.803	3.979e-28	p121685 VI_07689	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	NDWSQPNF_CDS_0008
NDWSQPNF_CDS_0009	5249	4230	-	GCA_015343595.1_707|467-47381	-476030.4182041327	52	223.0	0.41	4.3769999999999996e-67	KY290949_p37	PHANOTATE	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	NDWSQPNF_CDS_0009
NDWSQPNF_CDS_0010	5452	5240	-	GCA_015343595.1_707|467-47381	-18.744663253208543	46	53.0	0.411	1.431e-12	p199511 VI_11453	PHANOTATE	CDS	#07e9a2	baseplate hub	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	NDWSQPNF_CDS_0010
NDWSQPNF_CDS_0011	5849	5445	-	GCA_015343595.1_707|467-47381	-441.1833060683	76	101.0	0.459	1.093e-27	p258311 VI_01887	PHANOTATE	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	NDWSQPNF_CDS_0011
NDWSQPNF_CDS_0012	8758	5849	-	GCA_015343595.1_707|467-47381	-1.4831695435480704e+16	28	155.0	0.261	8.081999999999999e-41	p348226 VI_02582	PHANOTATE	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0012	NDWSQPNF_CDS_0012
NDWSQPNF_CDS_0013	8859	8758	-	GCA_015343595.1_707|467-47381	-0.1393049444023785	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0013	NDWSQPNF_CDS_0013
NDWSQPNF_CDS_0014	9449	8871	-	GCA_015343595.1_707|467-47381	-25276.62883323784	166	42.0	0.29	3.206e-08	p131196 VI_08606	PHANOTATE	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0014	NDWSQPNF_CDS_0014
NDWSQPNF_CDS_0015	10032	9526	-	GCA_015343595.1_707|467-47381	-5082.04208763856	55	92.0	0.348	2.118e-24	p363376 VI_00073	PHANOTATE	CDS	#35d7ff	head closure	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0015	NDWSQPNF_CDS_0015
NDWSQPNF_CDS_0016	11198	10032	-	GCA_015343595.1_707|467-47381	-3732276.4306313056	16736	35.0	0.315	6.707e-06	p404698 VI_10663	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0016	NDWSQPNF_CDS_0016
NDWSQPNF_CDS_0017	11377	11201	-	GCA_015343595.1_707|467-47381	-14.444485237771264	6423	44.0	0.596	1.16e-09	p311342 VI_09453	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0017	NDWSQPNF_CDS_0017
NDWSQPNF_CDS_0018	11727	11452	-	GCA_015343595.1_707|467-47381	-94.65954268904096	5714	68.0	0.5	7.818e-18	p164101 VI_06682	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0018	NDWSQPNF_CDS_0018
NDWSQPNF_CDS_0019	12579	11737	-	GCA_015343595.1_707|467-47381	-199507.86000177247	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0019	NDWSQPNF_CDS_0019
NDWSQPNF_CDS_0020	13244	12594	-	GCA_015343595.1_707|467-47381	-108403.9781324692	23820	198.0	0.495	2.9249999999999996e-60	NC_019722_p19	PHANOTATE	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0020	NDWSQPNF_CDS_0020
NDWSQPNF_CDS_0021	13552	13247	-	GCA_015343595.1_707|467-47381	-741.6755476590854	24308	58.0	0.317	1.444e-13	NC_010342_p15	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0021	NDWSQPNF_CDS_0021
NDWSQPNF_CDS_0022	13935	13561	-	GCA_015343595.1_707|467-47381	-2204.4983948870968	1084	46.0	0.361	8.935e-09	LC102729_p2	PHANOTATE	CDS	#c9c9c9	unknown function	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0022	NDWSQPNF_CDS_0022
NDWSQPNF_CDS_0023	14471	13944	-	GCA_015343595.1_707|467-47381	-471.3151815082921	3737	240.0	0.691	1.969e-75	p259608 VI_12019	PHANOTATE	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0023	NDWSQPNF_CDS_0023
NDWSQPNF_CDS_0024	15205	14468	-	GCA_015343595.1_707|467-47381	-41731.70436527964	48	135.0	0.405	9.664e-39	p200917 VI_08608	PHANOTATE	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0024	NDWSQPNF_CDS_0024
NDWSQPNF_CDS_0025	16197	15202	-	GCA_015343595.1_707|467-47381	-62667679.14896692	4226	98.0	0.29	6.958e-26	p428496 VI_02892	PHANOTATE	CDS	#07e9a2	baseplate protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0025	NDWSQPNF_CDS_0025
NDWSQPNF_CDS_0026	16543	16181	-	GCA_015343595.1_707|467-47381	-6.409126520838003	43	66.0	0.37	4.14e-16	p108457 VI_04298	PHANOTATE	CDS	#07e9a2	baseplate wedge subunit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0026	NDWSQPNF_CDS_0026
NDWSQPNF_CDS_0027	17199	16540	-	GCA_015343595.1_707|467-47381	-7768.809118558853	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0027	NDWSQPNF_CDS_0027
NDWSQPNF_CDS_0028	17831	17199	-	GCA_015343595.1_707|467-47381	-12069.518122464811	9992	107.0	0.453	6.031999999999999e-29	p200092 VI_07688	PHANOTATE	CDS	#07e9a2	baseplate assembly protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0028	NDWSQPNF_CDS_0028
NDWSQPNF_CDS_0029	18363	17815	-	GCA_015343595.1_707|467-47381	-17812.125732711494	1072	55.0	0.257	9.184e-12	p140225 VI_01698	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0029	NDWSQPNF_CDS_0029
NDWSQPNF_CDS_0030	18964	18332	-	GCA_015343595.1_707|467-47381	-46915.70870114482	27	75.0	0.368	1.643e-18	NC_027981_p9	PHANOTATE	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0030	NDWSQPNF_CDS_0030
NDWSQPNF_CDS_0031	19388	18981	-	GCA_015343595.1_707|467-47381	-896.9867079452245	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0031	NDWSQPNF_CDS_0031
NDWSQPNF_CDS_0032	19900	19406	-	GCA_015343595.1_707|467-47381	-67445.80700859333	34220	93.0	0.356	3.716e-25	p148677 VI_02621	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0032	NDWSQPNF_CDS_0032
NDWSQPNF_CDS_0033	21001	19961	-	GCA_015343595.1_707|467-47381	-42593903.93410434	6281	167.0	0.422	1.966e-49	p427573 VI_07098	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0033	NDWSQPNF_CDS_0033
NDWSQPNF_CDS_0034	21385	21041	-	GCA_015343595.1_707|467-47381	-26.314497405412336	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0034	NDWSQPNF_CDS_0034
